x_m,y_m,s_m,s_m_orig,d_left,d_right
0.67,0.37,0.0,24.768002,0.55,0.6
0.67,0.47,0.09999999999999998,24.868002,0.55,0.6
0.67,0.57,0.19999999999999996,24.968002,0.55,0.6
0.67,0.67,0.30000000000000004,25.068002,0.55,0.6
0.67,0.77,0.4,25.168002,0.55,0.6
0.67,0.87,0.5,25.268002,0.55,0.6
0.67,0.97,0.6,25.368002,0.55,0.6
0.67,1.07,0.7000000000000001,25.468002,0.55,0.6
0.67,1.17,0.7999999999999999,25.568002,0.55,0.6
0.67,1.27,0.9,25.668002,0.55,0.6
0.67,1.37,1.0,25.768002,0.55,0.6
0.67,1.47,1.0999999999999999,25.868002,0.55,0.6
0.67,1.57,1.2,25.968002,0.55,0.60192
0.67,1.67,1.2999999999999998,26.068002,0.55,0.617083
0.67,1.77,1.4,26.168002,0.55,0.646419
0.72,1.87,1.5118033988749895,26.279806,0.60192,0.6
0.72,1.97,1.6118033988749894,26.379806,0.607647,0.60192
0.72,2.07,1.7118033988749892,26.479806,0.6,0.617083
0.72,2.17,1.8118033988749893,26.579806,0.6,0.646419
0.72,2.27,1.9118033988749894,26.679806,0.568466,0.688241
0.77,2.37,2.023606797749979,26.791609,0.60192,0.7
0.77,2.42,2.073606797749979,26.841609,0.6,0.7
0.82,2.52,2.1854101966249684,26.953413,0.630074,0.65
0.82,2.62,2.2854101966249685,27.053413,0.607647,0.65
0.82,2.72,2.3854101966249686,27.153413,0.6,0.65
0.82,2.82,2.485410196624968,27.253413,0.6,0.65
0.82,2.92,2.5854101966249683,27.353413,0.6,0.65
0.82,3.02,2.6854101966249684,27.453413,0.6,0.65
0.82,3.12,2.7854101966249685,27.553413,0.6,0.65
0.82,3.22,2.8854101966249686,27.653413,0.6,0.65
0.82,3.32,2.985410196624968,27.753413,0.6,0.65
0.82,3.42,3.0854101966249683,27.853413,0.6,0.65
0.82,3.52,3.1854101966249684,27.953413,0.6,0.65
0.82,3.62,3.2854101966249685,28.053413,0.6,0.65
0.82,3.72,3.3854101966249686,28.153413,0.6,0.65
0.82,3.82,3.485410196624968,28.253413,0.6,0.65
0.82,3.92,3.5854101966249683,28.353413,0.607647,0.65
0.82,4.02,3.685410196624968,28.453413,0.630074,0.65
0.82,4.12,3.7854101966249685,28.553413,0.665891,0.65
0.77,4.22,3.8972135954999576,28.665216,0.646419,0.7
0.72,4.32,4.009016994374948,28.777019,0.630074,0.713217
0.72,4.37,4.0590169943749475,28.827019,0.646419,0.688241
0.67,4.47,4.170820393249937,28.938823,0.644622,0.693303
0.62,4.57,4.282623792124927,29.050626,0.660634,0.714853
0.57,4.67,4.394427190999916,29.16243,0.692462,0.751561
0.57,4.72,4.444427190999916,29.21243,0.727817,0.740569
0.52,4.82,4.556230589874906,29.324233,0.763173,0.763941
0.47,4.87,4.62694126799356,29.394944,0.763173,0.805862
0.42,4.97,4.738744666868549,29.506747,0.798528,0.836002
0.37,5.07,4.850548065743539,29.61855,0.833883,0.862414
0.32,5.17,4.9623514646185285,29.730354,0.869239,0.884077
0.27,5.22,5.033062142737183,29.801065,0.869239,0.920824
0.22,5.32,5.144865541612173,29.912868,0.904594,0.911769
0.17,5.37,5.215576219730828,29.983579,0.905249,0.934886
0.12,5.47,5.327379618605817,30.095382,0.95,0.946243
0.07,5.52,5.3980902967244715,30.166093,0.962423,0.975914
-0.03,5.57,5.5098936955994615,30.277896,0.956231,0.962423
-0.13,5.62,5.621697094474451,30.3897,0.956231,0.956231
-0.18,5.62,5.6716970944744505,30.4397,0.934886,0.979563
-0.28,5.67,5.78350049334944,30.551503,0.946243,0.962423
-0.38,5.72,5.895303892224429,30.663306,0.969804,0.956231
-0.43,5.72,5.945303892224429,30.713306,0.961187,0.979563
-0.53,5.77,6.057107291099418,30.82511,1.00119,0.979563
-0.63,5.77,6.157107291099417,30.92511,0.980776,1.009481
-0.73,5.82,6.268910689974407,31.036913,1.01066,1.00119
-0.83,5.82,6.368910689974407,31.136913,1.00119,1.046586
-0.88,5.87,6.439621368093062,31.207624,1.05,1.023546
-1.18,5.87,6.7396213680930614,0.0,1.06018,1.047725
-1.28,5.82,6.851424766968051,0.111803,1.029352,1.031665
-1.38,5.77,6.963228165843041,0.223607,1.009481,1.023546
-1.48,5.77,7.063228165843041,0.323607,1.042016,0.979563
-1.53,5.72,7.133938843961696,0.394317,1.009481,1.00119
-1.63,5.67,7.245742242836685,0.506121,1.00119,1.009481
-1.73,5.67,7.345742242836685,0.606121,1.046586,0.980776
-1.78,5.62,7.41645292095534,0.676832,1.023546,1.018878
-1.88,5.62,7.51645292095534,0.776832,1.068034,1.004751
-1.98,5.57,7.628256319830329,0.888635,1.07361,1.042016
-2.03,5.52,7.698966997948984,0.959346,1.06018,1.07361
-2.08,5.47,7.769677676067639,1.030056,1.051136,1.068034
-2.18,5.37,7.911099032304948,1.171478,1.031665,0.994031
-2.23,5.32,7.981809710423603,1.242188,1.020047,0.962423
-2.28,5.22,8.093613109298593,1.353992,0.975914,0.946243
-2.33,5.17,8.164323787417247,1.424702,0.975305,0.911769
-2.38,5.07,8.276127186292236,1.536506,0.942472,0.884077
-2.43,4.97,8.387930585167226,1.648309,0.920824,0.869239
-2.43,4.92,8.437930585167226,1.698309,0.893398,0.884077
-2.48,4.82,8.549733984042215,1.810113,0.880054,0.869239
-2.53,4.77,8.62044466216087,1.880823,0.893398,0.836002
-2.58,4.67,8.73224806103586,1.992627,0.880054,0.813134
-2.58,4.57,8.832248061035859,2.092627,0.824643,0.836002
-2.63,4.47,8.944051459910849,2.20443,0.823212,0.8
-2.63,4.37,9.044051459910849,2.30443,0.788153,0.8
-2.68,4.27,9.155854858785839,2.416233,0.8044,0.75
-2.68,4.22,9.205854858785838,2.466233,0.788153,0.75
-2.68,4.12,9.305854858785837,2.566233,0.763941,0.75
-2.68,4.02,9.405854858785837,2.666233,0.751561,0.75
-2.68,3.92,9.505854858785836,2.766233,0.75,0.740569
-2.68,3.82,9.605854858785836,2.866233,0.75,0.714853
-2.63,3.72,9.717658257660826,2.978037,0.7,0.751561
-2.63,3.62,9.817658257660826,3.078037,0.7,0.726209
-2.63,3.52,9.917658257660825,3.178037,0.7,0.706637
-2.63,3.42,10.017658257660825,3.278037,0.7,0.7
-2.63,3.32,10.117658257660825,3.378037,0.7,0.693303
-2.63,3.27,10.167658257660825,3.428037,0.7,0.678011
-2.58,3.17,10.279461656535815,3.53984,0.65,0.706637
-2.58,3.07,10.379461656535815,3.63984,0.65,0.678011
-2.58,2.97,10.479461656535815,3.73984,0.657107,0.657107
-2.53,2.87,10.591265055410805,3.851644,0.630074,0.678011
-2.53,2.77,10.691265055410804,3.951644,0.65,0.657107
-2.53,2.67,10.791265055410804,4.051644,0.65,0.630074
-2.48,2.57,10.903068454285794,4.163447,0.60192,0.644622
-2.48,2.47,11.003068454285794,4.263447,0.617083,0.6
-2.48,2.42,11.053068454285794,4.313447,0.630074,0.582456
-2.43,2.32,11.164871853160784,4.42525,0.6,0.6
-2.43,2.22,11.264871853160784,4.52525,0.607647,0.554152
-2.38,2.12,11.376675252035774,4.637054,0.582456,0.568466
-2.38,2.07,11.426675252035775,4.687054,0.6,0.554152
-2.33,1.97,11.538478650910765,4.798857,0.55208,0.568466
-2.33,1.87,11.638478650910765,4.898857,0.568466,0.535235
-2.28,1.77,11.750282049785755,5.010661,0.55,0.554152
-2.28,1.67,11.850282049785754,5.110661,0.558276,0.509017
-2.23,1.62,11.920992727904409,5.181371,0.520088,0.535235
-2.23,1.52,12.020992727904408,5.281371,0.554152,0.509017
-2.13,1.42,12.162414084141718,5.422793,0.509017,0.560328
-2.13,1.32,12.262414084141717,5.522793,0.554152,0.509017
-2.08,1.27,12.333124762260372,5.593503,0.520088,0.533095
-2.03,1.17,12.444928161135362,5.705307,0.509017,0.533095
-2.03,1.12,12.494928161135363,5.755307,0.533095,0.509017
-1.98,1.02,12.606731560010353,5.86711,0.533095,0.520088
-1.93,0.92,12.718534958885343,5.978914,0.520088,0.533095
-1.88,0.82,12.830338357760333,6.090717,0.509017,0.535235
-1.88,0.72,12.930338357760332,6.190717,0.554152,0.509017
-1.83,0.67,13.001049035878987,6.261428,0.520088,0.535235
-1.83,0.57,13.101049035878987,6.361428,0.554152,0.509017
-1.78,0.47,13.212852434753977,6.473231,0.55208,0.520088
-1.78,0.42,13.262852434753977,6.523231,0.558276,0.509017
-1.73,0.32,13.374655833628967,6.635034,0.535235,0.509017
-1.68,0.22,13.486459232503957,6.746838,0.533095,0.520088
-1.63,0.12,13.598262631378947,6.858641,0.55208,0.533095
-1.58,0.07,13.668973309497602,6.929352,0.551041,0.554152
-1.58,-0.03,13.768973309497602,7.029352,0.582456,0.520088
-1.53,-0.08,13.839683987616256,7.100063,0.554152,0.554152
-1.48,-0.18,13.951487386491246,7.211866,0.560328,0.554152
-1.43,-0.28,14.063290785366236,7.323669,0.554152,0.568466
-1.43,-0.38,14.163290785366236,7.423669,0.60192,0.533095
-1.38,-0.43,14.23400146348489,7.49438,0.55,0.554152
-1.38,-0.53,14.33400146348489,7.59438,0.55208,0.520088
-1.33,-0.63,14.44580486235988,7.706183,0.520088,0.535235
-1.33,-0.73,14.54580486235988,7.806183,0.554152,0.509017
-1.28,-0.83,14.65760826123487,7.917987,0.535235,0.520088
-1.28,-0.93,14.75760826123487,8.017987,0.55,0.502268
-1.23,-0.98,14.828318939353524,8.088698,0.5,0.55
-1.23,-1.08,14.928318939353524,8.188698,0.5,0.535235
-1.23,-1.18,15.028318939353523,8.288698,0.5,0.509017
-1.23,-1.28,15.128318939353523,8.388698,0.5,0.5
-1.23,-1.38,15.228318939353523,8.488698,0.509017,0.5
-1.23,-1.48,15.328318939353522,8.588698,0.5,0.5
-1.23,-1.58,15.428318939353522,8.688698,0.5,0.5
-1.28,-1.68,15.540122338228512,8.800501,0.55,0.45
-1.28,-1.78,15.640122338228512,8.900501,0.520088,0.459902
-1.28,-1.88,15.740122338228511,9.000501,0.502268,0.488516
-1.33,-1.93,15.810833016347166,9.071212,0.55,0.464782
-1.33,-2.03,15.910833016347166,9.171212,0.520088,0.520088
-1.38,-2.13,16.022636415222156,9.283015,0.55208,0.533095
-1.43,-2.23,16.134439814097146,9.394818,0.568466,0.533095
-1.48,-2.28,16.2051504922158,9.465529,0.607647,0.509017
-1.48,-2.38,16.3051504922158,9.565529,0.582456,0.554152
-1.53,-2.48,16.41695389109079,9.677333,0.607647,0.554152
-1.53,-2.58,16.516953891090793,9.777333,0.6,0.60192
-1.58,-2.63,16.587664569209448,9.848043,0.65,0.590312
-1.58,-2.73,16.68766456920945,9.948043,0.65,0.644622
-1.63,-2.83,16.79946796808444,10.059847,0.7,0.644622
-1.63,-2.93,16.89946796808444,10.159847,0.693303,0.688241
-1.68,-2.98,16.970178646203095,10.230557,0.726209,0.665891
-1.73,-3.08,17.081982045078085,10.342361,0.740569,0.67111
-1.78,-3.18,17.193785443953075,10.454164,0.757775,0.688241
-1.78,-3.28,17.293785443953077,10.554164,0.726209,0.732624
-1.83,-3.33,17.36449612207173,10.624875,0.757775,0.713217
-1.88,-3.43,17.47629952094672,10.736678,0.774621,0.731025
-1.93,-3.53,17.58810291982171,10.848482,0.777647,0.732624
-1.98,-3.58,17.658813597940366,10.919192,0.798528,0.713217
-2.08,-3.68,17.800234954177675,11.060614,0.770061,0.688241
-2.13,-3.73,17.87094563229633,11.131324,0.763941,0.665891
-2.18,-3.83,17.98274903117132,11.243128,0.727817,0.67111
-2.23,-3.88,18.053459709289974,11.313838,0.727817,0.660634
-2.28,-3.98,18.165263108164964,11.425642,0.692462,0.665891
-2.33,-4.03,18.23597378628362,11.496352,0.692462,0.644622
-2.43,-4.13,18.37739514252093,11.637774,0.693303,0.62082
-2.48,-4.18,18.448105820639583,11.708484,0.7,0.60192
-2.53,-4.28,18.559909219514573,11.820288,0.688241,0.62082
-2.58,-4.33,18.630619897633228,11.890999,0.692462,0.60192
-2.63,-4.43,18.742423296508218,12.002802,0.657107,0.62082
-2.68,-4.48,18.813133974626872,12.073513,0.660634,0.60192
-2.73,-4.58,18.924937373501862,12.185316,0.644622,0.62082
-2.78,-4.63,18.995648051620517,12.256027,0.657107,0.60192
-2.88,-4.73,19.137069407857826,12.397448,0.67111,0.586396
-2.93,-4.83,19.248872806732816,12.509251,0.665891,0.60192
-2.98,-4.88,19.31958348485147,12.579962,0.688241,0.590312
-2.98,-4.98,19.419583484851472,12.679962,0.644622,0.65
-3.03,-5.08,19.531386883726462,12.791766,0.646419,0.6
-3.03,-5.13,19.581386883726463,12.841766,0.630074,0.6
-3.03,-5.23,19.681386883726464,12.941766,0.607647,0.6
-3.03,-5.33,19.781386883726462,13.041766,0.6,0.6
-3.03,-5.43,19.881386883726464,13.141766,0.6,0.6
-3.03,-5.53,19.981386883726465,13.241766,0.6,0.6
-3.03,-5.63,20.081386883726466,13.341766,0.6,0.6
-3.03,-5.73,20.181386883726468,13.441766,0.60192,0.6
-3.03,-5.83,20.28138688372647,13.541766,0.617083,0.6
-2.98,-5.93,20.39319028260146,13.653569,0.6,0.65
-2.98,-6.03,20.49319028260146,13.753569,0.644622,0.65
-2.98,-6.08,20.54319028260146,13.803569,0.665891,0.630074
-2.93,-6.18,20.65499368147645,13.915372,0.646419,0.62082
-2.88,-6.28,20.76679708035144,14.027176,0.644622,0.630074
-2.83,-6.38,20.87860047922643,14.138979,0.660634,0.644622
-2.83,-6.43,20.928600479226432,14.188979,0.688241,0.62082
-2.73,-6.53,21.07002183546374,14.3304,0.660634,0.67111
-2.68,-6.58,21.140732513582396,14.401111,0.657107,0.688241
-2.63,-6.68,21.252535912457386,14.512915,0.692462,0.692462
-2.58,-6.73,21.32324659057604,14.583625,0.692462,0.693303
-2.48,-6.83,21.46466794681335,14.725047,0.693303,0.711577
-2.43,-6.88,21.535378624932004,14.795757,0.7,0.688241
-2.33,-6.93,21.647182023806995,14.907561,0.688241,0.688241
-2.28,-6.93,21.697182023806995,14.957561,0.665891,0.711577
-2.18,-6.98,21.808985422681985,15.069364,0.665891,0.713217
-2.08,-7.03,21.920788821556975,15.181167,0.678011,0.731025
-1.98,-7.08,22.032592220431965,15.292971,0.706637,0.756226
-1.93,-7.13,22.10330289855062,15.363682,0.751561,0.740569
-1.83,-7.13,22.20330289855062,15.463682,0.75,0.801469
-1.73,-7.18,22.31510629742561,15.575485,0.8,0.833883
-1.68,-7.18,22.365106297425612,15.625485,0.8,0.869239
-1.58,-7.23,22.476909696300602,15.737288,0.85,0.904594
-1.48,-7.23,22.576909696300604,15.837288,0.85,0.956231
-1.38,-7.28,22.688713095175594,15.949092,0.905249,0.956231
-1.28,-7.28,22.788713095175595,16.049092,0.920824,1.00119
-1.18,-7.28,22.888713095175596,16.149092,0.946243,1.029352
-1.08,-7.28,22.988713095175598,16.249092,0.980776,1.056797
-0.98,-7.28,23.0887130951756,16.349092,1.023546,1.092366
-0.88,-7.28,23.1887130951756,16.449092,1.068034,1.135327
-0.78,-7.23,23.30051649405059,16.560895,1.068034,1.179837
-0.68,-7.18,23.41231989292558,16.672699,1.068034,1.184909
-0.63,-7.18,23.46231989292558,16.722699,1.091271,1.16758
-0.53,-7.13,23.57412329180057,16.834502,1.101086,1.184909
-0.48,-7.08,23.644833969919226,16.905213,1.090175,1.214911
-0.38,-7.03,23.756637368794216,17.017016,1.117262,1.231601
-0.28,-6.98,23.868440767669206,17.128819,1.152082,1.248075
-0.18,-6.93,23.980244166544196,17.240623,1.187437,1.247112
-0.18,-6.88,24.030244166544197,17.290623,1.152082,1.26244
-0.08,-6.78,24.171665522781506,17.432044,1.152082,1.203994
-0.08,-6.73,24.221665522781507,17.482044,1.116726,1.208968
-0.03,-6.63,24.333468921656497,17.593848,1.083578,1.175765
0.02,-6.53,24.445272320531487,17.705651,1.06018,1.15
0.02,-6.48,24.495272320531488,17.755651,1.031665,1.15
0.07,-6.38,24.607075719406478,17.867454,1.020047,1.1
0.12,-6.28,24.718879118281468,17.979258,1.004751,1.05
0.12,-6.18,24.81887911828147,18.079258,0.956231,1.05
0.17,-6.08,24.93068251715646,18.191061,0.956231,1.0
0.17,-5.98,25.030682517156457,18.291061,0.911769,1.00119
0.17,-5.93,25.080682517156458,18.341061,0.889415,1.004751
0.22,-5.83,25.192485916031448,18.452865,0.889415,0.969804
0.27,-5.73,25.304289314906438,18.564668,0.898683,0.946243
0.27,-5.63,25.40428931490644,18.664668,0.869239,0.95
0.27,-5.53,25.504289314906437,18.764668,0.836002,0.95
0.27,-5.48,25.554289314906438,18.814668,0.823212,0.95
0.32,-5.38,25.666092713781428,18.926471,0.855539,0.9
0.32,-5.28,25.766092713781426,19.026471,0.85,0.9
0.32,-5.18,25.866092713781427,19.126471,0.836002,0.9
0.32,-5.08,25.96609271378143,19.226471,0.813134,0.905249
0.37,-4.98,26.07789611265642,19.338275,0.851388,0.871954
0.37,-4.88,26.17789611265642,19.438275,0.823212,0.898683
0.37,-4.78,26.27789611265642,19.538275,0.788153,0.9
0.42,-4.68,26.38969951153141,19.650078,0.813134,0.855539
0.42,-4.58,26.489699511531413,19.750078,0.801469,0.871954
0.42,-4.48,26.589699511531414,19.850078,0.788153,0.898683
0.47,-4.43,26.66041018965007,19.920789,0.823212,0.855539
0.47,-4.33,26.760410189650067,20.020789,0.805862,0.871954
0.47,-4.23,26.860410189650068,20.120789,0.8,0.898683
0.47,-4.13,26.96041018965007,20.220789,0.8,0.934886
0.52,-4.03,27.07221358852506,20.332592,0.823212,0.851388
0.52,-3.93,27.17221358852506,20.432592,0.805862,0.823212
0.52,-3.83,27.272213588525062,20.532592,0.8,0.805862
0.52,-3.73,27.372213588525064,20.632592,0.774621,0.8
0.52,-3.63,27.472213588525065,20.732592,0.756226,0.8
0.52,-3.53,27.572213588525067,20.832592,0.75,0.774621
0.52,-3.43,27.672213588525068,20.932592,0.740569,0.756226
0.52,-3.33,27.77221358852507,21.032592,0.714853,0.75
0.52,-3.23,27.87221358852507,21.132592,0.701665,0.75
0.52,-3.13,27.972213588525072,21.232592,0.7,0.75
0.52,-3.03,28.072213588525074,21.332592,0.7,0.75
0.52,-2.93,28.172213588525075,21.432592,0.7,0.75
0.52,-2.83,28.272213588525076,21.532592,0.7,0.75
0.52,-2.73,28.372213588525078,21.632592,0.7,0.726209
0.52,-2.63,28.47221358852508,21.732592,0.688241,0.706637
0.52,-2.53,28.57221358852508,21.832592,0.646419,0.7
0.52,-2.48,28.62221358852508,21.882592,0.630074,0.7
0.57,-2.38,28.73401698740007,21.994396,0.646419,0.65
0.57,-2.28,28.834016987400073,22.094396,0.617083,0.65
0.57,-2.18,28.93401698740007,22.194396,0.60192,0.65
0.57,-2.08,29.034016987400072,22.294396,0.6,0.65
0.62,-1.98,29.145820386275062,22.406199,0.630074,0.6
0.62,-1.88,29.245820386275064,22.506199,0.607647,0.6
0.62,-1.78,29.345820386275065,22.606199,0.6,0.6
0.62,-1.68,29.445820386275066,22.706199,0.6,0.6
0.62,-1.58,29.545820386275068,22.806199,0.6,0.6
0.62,-1.48,29.64582038627507,22.906199,0.6,0.6
0.62,-1.38,29.74582038627507,23.006199,0.6,0.6
0.62,-1.28,29.845820386275072,23.106199,0.6,0.60192
0.62,-1.18,29.945820386275074,23.206199,0.6,0.617083
0.62,-1.08,30.045820386275075,23.306199,0.568466,0.646419
0.62,-1.03,30.095820386275076,23.356199,0.558276,0.65
0.67,-0.93,30.207623785150066,23.468002,0.582456,0.6
0.67,-0.83,30.307623785150067,23.568002,0.558276,0.6
0.67,-0.73,30.40762378515007,23.668002,0.55,0.6
0.67,-0.63,30.50762378515007,23.768002,0.55,0.6
0.67,-0.53,30.60762378515007,23.868002,0.55,0.6
0.67,-0.43,30.707623785150073,23.968002,0.55,0.6
0.67,-0.33,30.807623785150074,24.068002,0.55,0.6
0.67,-0.23,30.907623785150076,24.168002,0.55,0.6
0.67,-0.13,31.007623785150077,24.268002,0.55,0.6
0.67,-0.03,31.10762378515008,24.368002,0.55,0.6
0.67,0.07,31.20762378515008,24.468002,0.55,0.6
0.67,0.17,31.30762378515008,24.568002,0.55,0.6
0.67,0.27,31.407623785150083,24.668002,0.55,0.6
